NGC3593         11 14 37.0  +12 49 04   6.50  11.86   0   0.02  16.79  0.16  15.31  0.05
NGC3599         11 15 27.0  +18 06 37   9.60  12.80  -2   0.02  18.19  0.06  16.64  0.04
NGC3600         11 15 52.1  +41 35 32   9.70  14.00   1   0.02  15.16  0.05  14.77  0.07
NGC3621         11 18 16.0  -32 48 42   6.64  10.20   7   0.08  11.62  0.05  11.18  0.05
NGC3623         11 18 55.9  +13 05 37   8.90  10.25   1   0.02  14.98  0.08  13.93  0.07
NGC3627         11 20 15.0  +12 59 30  10.05   9.70   3   0.03  12.65  0.05  11.98  0.03
NGC3628         11 20 16.9  +13 35 20   9.40  10.28   3   0.03  14.36  0.06  13.32  0.03
IC2782          11 22 55.3  +13 26 29   9.70  14.90   8   0.02  21.93 99.99  17.89  0.08
IC2787          11 23 19.1  +13 37 47   7.70  16.10   6   0.03  99.99 99.99  99.99 99.99
NGC3675         11 26 08.6  +43 35 09  10.60  11.00   3   0.02  15.02  0.06  14.18  0.07
UGC6457         11 27 12.2  +00 59 41  10.20  15.00  10   0.03  16.33  0.06  15.95  0.03
UGC6456         11 27 59.9  +78 59 39   4.34  15.90  10   0.04  15.00  0.05  14.98  0.04
UGC6541         11 33 28.9  +49 14 14   3.89  14.40  11   0.02  15.36  0.05  15.17  0.03
NGC3738         11 35 48.8  +54 31 26   4.90  11.97  10   0.01  13.77  0.05  13.45  0.03
NGC3741         11 36 06.2  +45 17 01   3.24  14.49  10   0.02  15.13  0.05  15.00  0.03
LEDA166115      11 47 11.2  +43 40 19   4.51  18.62  10   0.02  22.03 99.99  19.61  0.17
UGC6817         11 50 53.0  +38 52 49   2.59  13.56  10   0.03  14.78  0.05  14.57  0.06
UGC6900         11 55 39.4  +31 31 10   7.50  14.80  10   0.02  99.99 99.99  16.91  0.04
BTS76           11 58 44.1  +27 35 06   6.00  16.50  10   0.02  20.39  0.09  19.86  0.05
NGC4020         11 58 56.6  +30 24 44   9.70  13.80   7   0.02  15.20  0.05  14.82  0.03
UGC7007         12 01 33.1  +33 20 29  10.10  16.30   9   0.02  16.98  0.08  16.77  0.05
NGC4068         12 04 00.8  +52 35 18   4.31  13.02  10   0.02  14.30  0.05  14.08  0.03
NGC4080         12 04 51.8  +26 59 33   6.90  14.30  10   0.03  16.08  0.05  15.68  0.03
NGC4096         12 06 01.0  +47 28 40   8.30  11.48   5   0.02  14.08  0.05  13.59  0.03
KUG1207+367     12 09 56.4  +36 26 07   4.50  15.50  10   0.03  17.16  0.05  16.71  0.03
NGC4144         12 09 58.4  +46 27 27   9.80  12.10   6   0.01  13.95  0.05  13.56  0.04
NGC4163         12 12 09.1  +36 10 09   2.87  13.75  10   0.02  15.34  0.05  14.95  0.03
NGC4190         12 13 44.7  +36 38 03   3.50  13.90  10   0.03  14.77  0.05  14.32  0.03
UGC7242         12 14 08.4  +66 05 41   5.42  14.70   6   0.02  16.05  0.05  15.51  0.06
UGCA276         12 14 57.9  +36 13 08   2.95  15.70  10   0.02  99.99 99.99  18.62  0.06
NGC4204         12 15 14.5  +20 39 31  10.40  14.00   8   0.03  14.31  0.08  14.06  0.03
UGC7267         12 15 23.6  +51 20 58   7.30  15.30   8   0.02  16.30  0.05  15.96  0.03
UGC7271         12 15 33.3  +43 26 06   7.80  15.53   7   0.01  16.46  0.05  16.14  0.04
NGC4214         12 15 38.9  +36 19 40   3.04  10.20  10   0.02  11.47  0.05  11.27  0.03
CGCG269-049     12 15 46.7  +52 23 15   3.20  15.30  10   0.02  16.60  0.05  16.35  0.03
UGC7298         12 16 30.1  +52 13 39   4.21  16.06  10   0.02  17.26  0.05  16.95  0.06
NGC4236         12 16 42.1  +69 27 46   4.45  10.10   8   0.01  11.76  0.05  11.57  0.03
NGC4244         12 17 29.9  +37 48 29   4.49  10.90   6   0.02  12.67  0.05  12.20  0.03
NGC4242         12 17 30.1  +45 37 08   7.40  11.40   8   0.01  13.88  0.05  13.53  0.03
NGC4248         12 17 50.3  +47 24 31   7.20  13.21   3   0.02  16.84  0.05  15.87  0.04
IC3104          12 18 46.0  -79 43 34   2.27  13.50  10   0.41  99.99 99.99  99.99 99.99
NGC4258         12 18 57.5  +47 18 14   7.98   9.10   4   0.02  11.82  0.05  11.40  0.03
UGC7356         12 19 09.1  +47 05 23   6.70  15.58  10   0.02  99.99 99.99  18.69  0.05
ISZ399          12 19 59.5  -17 23 31   9.00  14.70  11   0.06  99.99 99.99  99.99 99.99
NGC4288         12 20 38.1  +46 17 33   7.70  13.30   7   0.01  14.57  0.05  14.35  0.03
UGC7408         12 21 15.0  +45 48 41   6.90  13.30   9   0.01  16.10  0.05  15.48  0.04
UGC7490         12 24 25.3  +70 20 01   8.40  13.10   9   0.02  99.99 99.99  99.99 99.99
LEDA166137      12 25 27.9  +28 28 57   6.00  16.50  10   0.02  17.24  0.08  16.97  0.05
NGC4395         12 25 48.9  +33 32 48   4.61  10.60   9   0.02  11.63  0.05  11.51  0.03
